ID,이름,키 (m),몸무게 (kg),타입,IMAGE_URL,GIF_URL
12,버터플,1.1,32.0,"벌레, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/12.gif
13,뿔충이,0.3,3.2,"벌레, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/13.gif
14,딱충이,0.6,10.0,"벌레, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/14.gif
15,독침붕,1.0,29.5,"벌레, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/15.gif
16,구구,0.3,1.8,"노말, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/16.gif
17,피죤,1.1,30.0,"노말, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/17.gif
18,피죤투,1.5,39.5,"노말, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/18.gif
19,꼬렛,0.3,3.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/19.gif
20,레트라,0.7,18.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/20.gif
21,깨비참,0.3,2.0,"노말, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/21.gif
22,깨비드릴조,1.2,38.0,"노말, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/22.gif
23,아보,2.0,6.9,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/23.gif
24,아보크,3.5,65.0,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/24.gif
25,피카츄,0.4,6.0,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/25.gif
26,라이츄,0.8,30.0,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/26.gif
27,모래두지,0.6,12.0,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/27.gif
28,고지,1.0,29.5,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/28.gif
29,니드런♀,0.4,7.0,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/29.gif
30,니드리나,0.8,20.0,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/30.gif
31,니드퀸,1.3,60.0,"독, 땅",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/31.gif
32,니드런♂,0.5,9.0,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/32.gif
33,니드리노,0.9,19.5,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/33.gif
34,니드킹,1.4,62.0,"독, 땅",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/34.gif
35,삐삐,0.6,7.5,페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/35.gif
36,픽시,1.3,40.0,페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/36.gif
37,식스테일,0.6,9.9,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/37.gif
38,나인테일,1.1,19.9,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/38.gif
39,푸린,0.5,5.5,"노말, 페어리",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/39.gif
40,푸크린,1.0,12.0,"노말, 페어리",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/40.gif
41,주뱃,0.8,7.5,"독, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/41.gif
42,골뱃,1.6,55.0,"독, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/42.gif
43,뚜벅쵸,0.5,5.4,"풀, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/43.gif
44,냄새꼬,0.8,8.6,"풀, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/44.gif
45,라플레시아,1.2,18.6,"풀, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/45.gif
46,파라스,0.3,5.4,"벌레, 풀",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/46.gif
47,파라섹트,1.0,29.5,"벌레, 풀",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/47.gif
48,콘팡,1.0,30.0,"벌레, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/48.gif
49,도나리,1.5,12.5,"벌레, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/49.gif
50,디그다,0.2,0.8,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/50.gif
51,닥트리오,0.7,33.3,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/51.gif
52,나옹,0.4,4.2,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/52.gif
53,페르시온,1.0,32.0,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/53.gif
54,고라파덕,0.8,19.6,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/54.gif
55,골덕,1.7,76.6,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/55.gif
56,망키,0.5,28.0,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/56.gif
57,성원숭,1.0,32.0,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/57.gif
58,가디,0.7,19.0,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/58.gif
59,윈디,1.9,155.0,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/59.gif
60,발챙이,0.6,12.4,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/60.gif
61,슈륙챙이,1.0,20.0,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/61.gif
62,강챙이,1.3,54.0,"물, 격투",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/62.gif
63,캐이시,0.9,19.5,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/63.gif
64,윤겔라,1.3,56.5,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/64.gif
65,후딘,1.5,48.0,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/65.gif
66,알통몬,0.8,19.5,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/66.gif
67,근육몬,1.5,70.5,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/67.gif
68,괴력몬,1.6,130.0,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/68.gif
69,모다피,0.7,4.0,"풀, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/69.gif
70,우츠동,1.0,6.4,"풀, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/70.gif
71,우츠보트,1.7,15.5,"풀, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/71.gif
72,왕눈해,0.9,45.5,"물, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/72.gif
73,독파리,1.6,55.0,"물, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/73.gif
74,꼬마돌,0.4,20.0,"바위, 땅",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/74.gif
75,데구리,1.0,105.0,"바위, 땅",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/75.gif
76,딱구리,1.4,300.0,"바위, 땅",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/76.gif
77,포니타,1.0,30.0,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/77.gif
78,날쌩마,1.7,95.0,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/78.gif
79,야돈,1.2,36.0,"물, 에스퍼",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/79.gif
80,야도란,1.6,78.5,"물, 에스퍼",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/80.gif
81,코일,0.3,6.0,"전기, 강철",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/81.gif
82,레어코일,1.0,60.0,"전기, 강철",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/82.gif
83,파오리,0.8,15.0,"노말, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/83.gif
84,두두,1.4,39.2,"노말, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/84.gif
85,두트리오,1.8,85.2,"노말, 비행",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/85.gif
86,쥬쥬,1.1,90.0,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/86.gif
87,쥬레곤,1.7,120.0,"물, 얼음",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/87.gif
88,질퍽이,0.9,30.0,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/88.gif
89,질뻐기,1.2,30.0,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/89.gif
90,셀러,0.3,4.0,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/90.gif
91,파르셀,1.5,132.5,"물, 얼음",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/91.gif
92,고오스,1.3,0.1,"고스트, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/92.gif
93,고우스트,1.6,0.1,"고스트, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/93.gif
94,팬텀,1.5,40.5,"고스트, 독",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/94.gif
95,롱스톤,8.8,210.0,"바위, 땅",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/95.gif
96,슬리프,1.0,32.4,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/96.gif
97,슬리퍼,1.6,75.6,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/97.gif
98,크랩,0.4,6.5,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/98.gif
99,킹크랩,1.3,60.0,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/99.gif
100,찌리리공,0.5,10.4,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/100.gif
101,붐볼,1.2,66.6,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/101.gif
102,아라리,0.4,2.5,"풀, 에스퍼",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/102.gif
103,나시,2.0,120.0,"풀, 에스퍼",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/103.gif
104,탕구리,0.4,6.5,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/104.gif
105,텅구리,1.0,45.0,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/105.gif
106,시라소몬,1.5,49.8,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/106.gif
107,홍수몬,1.4,50.2,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/107.gif
108,내루미,1.2,65.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/108.gif
109,또가스,0.6,1.0,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/109.gif
110,또도가스,1.2,9.5,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/110.gif
111,뿔카노,1.0,115.0,"땅, 바위",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/111.gif
112,코뿌리,1.9,120.0,"땅, 바위",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/112.gif
113,럭키,1.1,34.6,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/113.gif
114,덩쿠리,1.0,35.0,풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/114.gif
115,캥카,2.2,80.0,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/115.gif
116,쏘드라,0.4,8.0,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/116.gif
117,시드라,1.2,25.0,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/117.gif
118,콘치,0.6,15.0,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/118.gif
119,왕콘치,1.3,39.0,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/119.gif
