ID,Name,Height (m),Weight (kg),Types,URL
119,왕콘치,1.3,39,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
120,별가사리,0.8,34.5,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
121,아쿠스타,1.1,80,물|에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
122,마임맨,1.3,54.5,에스퍼|페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
123,스라크,1.5,56,벌레|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
124,루주라,1.4,40.6,얼음|에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
125,에레브,1.1,30,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
126,마그마,1.3,44.5,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
127,쁘사이저,1.5,55,벌레,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
128,켄타로스,1.4,88.4,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
129,잉어킹,0.9,10,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
130,갸라도스,6.5,235,물|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
131,라프라스,2.5,220,물|얼음,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
132,메타몽,0.3,4,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
133,이브이,0.3,6.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
134,샤미드,1,29,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
135,쥬피썬더,0.8,24.5,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
136,부스터,0.9,25,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
137,폴리곤,0.8,36.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
138,암나이트,0.4,7.5,바위|물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
139,암스타,1,35,바위|물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png
140,투구,0.5,11.5,바위|물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png
141,투구푸스,1.3,40.5,바위|물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png
142,프테라,1.8,59,바위|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
143,잠만보,2.1,460,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png
144,프리져,1.7,55.4,얼음|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
145,썬더,1.6,52.6,전기|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png
146,파이어,2,60,불꽃|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png
147,미뇽,1.8,3.3,드래곤,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png
148,신뇽,4,16.5,드래곤,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png
149,망나뇽,2.2,210,드래곤|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png
150,뮤츠,2,122,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
151,뮤,0.4,4,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
152,치코리타,0.9,6.4,풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
153,베이리프,1.2,15.8,풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
154,메가니움,1.8,100.5,풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png
155,브케인,0.5,7.9,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png
156,마그케인,0.9,19,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png
157,블레이범,1.7,79.5,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png
158,리아코,0.6,9.5,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png
159,엘리게이,1.1,25,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
160,장크로다일,2.3,88.8,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png
161,꼬리선,0.8,6,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png
162,다꼬리,1.8,32.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png
163,부우부,0.7,21.2,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png
164,야부엉,1.6,40.8,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png
165,레디바,1,10.8,벌레|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
166,레디안,1.4,35.6,벌레|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
167,페이검,0.5,8.5,벌레|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
168,아리아도스,1.1,33.5,벌레|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
169,크로뱃,1.8,75,독|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
170,초라기,0.5,12,물|전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
171,랜턴,1.2,22.5,물|전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
172,피츄,0.3,2,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
173,삐,0.3,3,페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
174,푸푸린,0.3,1,노말|페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png
175,토게피,0.3,1.5,페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png
176,토게틱,0.6,3.2,페어리|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png
177,네이티,0.2,2,에스퍼|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png
178,네이티오,1.5,15,에스퍼|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png
179,메리프,0.6,7.8,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png
180,보송송,0.8,13.3,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png
181,전룡,1.4,61.5,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
182,아르코,0.4,5.8,풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
183,마릴,0.4,8.5,물|페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png
184,마릴리,0.8,28.5,물|페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
185,꼬지모,1.2,38,바위,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png
186,왕구리,1.1,33.9,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png
187,통통코,0.4,0.5,풀|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png
188,두코,0.6,1,풀|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png
189,솜솜코,0.8,3,풀|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png
190,에이팜,0.8,11.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
191,해너츠,0.3,1.8,풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png
192,해루미,0.8,8.5,풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png
193,왕자리,1.2,38,벌레|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png
194,우파,0.4,8.5,물|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png
195,누오,1.4,75,물|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png
196,에브이,0.9,26.5,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png
197,블래키,1,27,악,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png
198,니로우,0.5,2.1,악|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png
199,야도킹,2,79.5,물|에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png
200,무우마,0.7,1,고스트,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png
201,안농,0.5,5,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png
202,마자용,1.3,28.5,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png
203,키링키,1.5,41.5,노말|에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png
204,피콘,0.6,7.2,벌레,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png
205,쏘콘,1.2,125.8,벌레|강철,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png
206,노고치,1.5,14,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png
207,글라이거,1.1,64.8,땅|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png
208,강철톤,9.2,400,강철|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png
209,블루,0.6,7.8,페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png
210,그랑블루,1.4,48.7,페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png
211,침바루,0.5,3.9,물|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png
212,핫삼,1.8,118,벌레|강철,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png
213,단단지,0.6,20.5,벌레|바위,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png
214,헤라크로스,1.5,54,벌레|격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png
215,포푸니,0.9,28,악|얼음,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png
216,깜지곰,0.6,8.8,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png
217,링곰,1.8,125.8,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png
218,마그마그,0.7,35,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png
219,마그카르고,0.8,55,불꽃|바위,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png
220,꾸꾸리,0.4,6.5,얼음|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png
221,메꾸리,1.1,55.8,얼음|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png
222,코산호,0.6,5,물|바위,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png
223,총어,0.6,12,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png
224,대포무노,0.9,28.5,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png
225,딜리버드,0.9,16,얼음|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png
226,만타인,2.1,220,물|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png
227,무장조,1.7,50.5,강철|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png
228,델빌,0.6,10.8,악|불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png
229,헬가,1.4,35,악|불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png
230,킹드라,1.8,152,물|드래곤,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png
231,코코리,0.5,33.5,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png
232,코리갑,1.1,120,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png
233,폴리곤2,0.6,32.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png
234,노라키,1.4,71.2,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png
235,루브도,1.2,58,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png
236,배루키,0.7,21,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png
237,카포에라,1.4,48,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png
238,뽀뽀라,0.4,6,얼음|에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png
